co2_ch4_n2o_scope_1_3,carbon_intensity,board_diversity,corruption_cases,governance_compliance_score,total_energy_consumption,renewable_energy_share,turnover_rate,injury_frequency_rate,green_financing
44.94,72.77,21.96,24.0,89.04,57.1,11.95,64.76,24.23,61.06
0.55,92.55,56.9,47.0,8.47,78.39,12.32,28.92,83.57,95.85
70.75,34.94,45.7,1.0,48.67,52.55,2.67,72.3,41.18,9.18
18.93,65.59,57.44,21.0,40.78,54.66,76.56,61.3,14.93,58.48
72.65,8.44,5.69,44.0,86.35,62.43,76.0,80.75,19.51,25.84
68.78,67.55,85.09,21.0,72.58,17.32,3.76,55.8,76.49,24.59
82.46,76.15,10.46,13.0,77.88,66.54,94.2,40.68,71.89,30.43
50.7,82.65,98.3,15.0,86.91,43.16,17.75,13.12,32.71,73.52
6.83,59.71,28.15,28.0,86.22,49.4,40.2,44.26,20.99,4.5
89.05,16.92,10.26,5.0,82.58,76.95,35.79,13.48,37.11,24.11
54.02,85.38,54.99,34.0,39.72,82.69,64.45,49.58,31.92,82.44
55.03,23.59,95.01,6.0,2.13,90.2,40.26,93.04,24.99,94.8
48.35,76.09,95.87,44.0,73.6,23.95,24.34,78.81,13.9,63.93
38.9,17.55,35.18,23.0,36.57,59.2,0.88,94.72,61.85,15.16
21.12,24.4,41.32,19.0,83.44,91.81,99.94,27.63,81.33,77.47
96.98,2.97,91.32,8.0,96.86,49.89,11.26,58.77,91.76,0.37
14.63,1.52,81.33,0.0,41.36,6.41,74.11,54.59,66.1,2.01
14.43,49.02,9.53,46.0,15.64,3.46,86.2,50.29,91.4,98.22
52.61,52.58,27.8,18.0,38.59,57.72,22.3,18.09,30.16,84.35
38.11,77.73,78.97,1.0,71.58,50.54,81.75,79.3,31.89,91.02
80.95,74.68,2.93,5.0,37.21,79.68,63.35,50.32,95.59,32.08
96.61,93.06,56.05,20.0,86.0,64.59,98.85,37.81,56.84,90.69
17.59,99.9,26.17,45.0,52.27,43.15,58.99,55.97,85.55,10.25
60.57,81.86,69.9,12.0,82.01,55.19,8.61,88.19,69.22,68.54
71.91,80.33,27.43,30.0,74.05,55.29,41.81,39.57,59.49,13.25
94.87,96.92,14.65,46.0,70.1,11.42,46.49,73.23,16.56,41.08
22.71,89.03,56.13,15.0,5.1,18.68,60.17,72.47,84.34,32.31
5.42,12.03,91.78,46.0,83.29,19.11,8.39,99.35,90.83,32.98
75.08,88.13,50.8,16.0,17.03,92.64,90.1,81.54,60.16,57.53
57.84,84.72,48.03,39.0,8.73,7.88,28.11,7.97,13.43,28.18
0.53,82.8,52.07,32.0,61.97,81.5,31.46,8.33,26.21,42.05
93.9,72.03,78.15,49.0,27.16,76.43,19.89,57.22,36.08,21.72
54.82,97.34,92.93,31.0,29.17,24.95,2.93,47.71,52.03,48.13
72.24,76.41,57.91,21.0,92.54,33.27,66.77,23.15,87.84,9.71
18.38,28.36,1.12,2.0,80.29,68.83,9.79,48.6,20.52,90.29
79.24,24.76,88.99,2.0,8.99,54.19,89.34,34.83,55.82,59.59
50.9,61.51,51.22,16.0,91.99,67.49,15.36,47.95,39.21,89.44
35.96,94.37,3.57,46.0,40.17,13.3,95.86,16.36,44.04,62.06
37.34,4.55,13.02,1.0,53.7,79.31,27.2,93.1,17.26,41.75
15.49,57.25,21.71,9.0,61.3,45.74,17.67,62.47,72.48,70.91
44.97,11.78,59.97,31.0,85.83,51.69,68.84,68.97,5.08,93.45
5.62,48.87,57.89,13.0,79.66,86.47,68.08,56.57,12.33,43.12
90.55,97.68,67.92,29.0,63.07,62.86,76.86,85.12,27.58,15.77
70.0,62.43,1.26,31.0,59.17,90.25,7.62,11.74,98.28,5.81
98.64,36.48,59.96,1.0,29.09,75.36,1.83,70.68,80.64,82.65
38.2,36.11,68.95,19.0,67.58,4.91,95.53,78.69,90.39,49.45
78.88,69.84,76.0,6.0,11.42,62.05,10.74,86.77,24.13,90.59
39.59,49.01,79.96,39.0,74.88,15.08,76.01,84.78,30.0,9.7
67.79,20.46,95.14,5.0,84.15,29.37,70.73,30.44,38.2,68.6
20.89,17.8,68.78,18.0,75.94,89.96,13.54,84.6,86.89,18.62
92.12,43.67,23.64,10.0,20.65,34.26,78.55,87.84,9.49,87.36
48.83,76.67,83.18,37.0,80.09,91.3,9.17,31.86,89.1,2.37
93.15,47.42,61.59,8.0,7.17,83.6,83.7,13.29,77.38,61.08
55.37,86.58,42.07,37.0,87.61,9.0,46.4,0.38,52.32,33.04
48.95,96.32,5.14,8.0,4.78,82.69,34.21,28.09,56.74,91.92
39.69,13.58,83.6,6.0,50.55,49.72,7.68,31.99,13.56,73.34
88.57,14.14,89.29,4.0,70.75,29.55,80.07,48.42,25.99,66.27
9.41,34.6,68.26,21.0,1.37,9.89,92.08,74.06,54.84,82.54
36.64,32.62,46.48,2.0,29.81,19.34,27.8,9.38,53.29,35.28
75.0,61.69,47.63,40.0,21.01,69.17,47.83,35.63,40.22,82.34
3.45,0.07,38.76,21.0,46.15,86.8,32.31,64.61,32.05,53.46
1.8,31.01,29.11,38.0,4.39,15.97,23.98,97.51,70.95,43.45
13.11,93.57,66.7,18.0,24.49,81.45,18.31,36.73,21.43,34.09
59.35,93.28,91.61,12.0,99.2,78.13,85.9,6.18,65.68,1.16
15.31,73.56,14.12,27.0,53.75,49.78,37.46,62.74,49.12,61.26
4.42,80.71,38.35,3.0,16.39,17.95,7.12,40.15,87.8,64.36
41.98,25.93,36.25,38.0,0.04,22.77,13.94,7.62,43.11,50.59
92.28,82.21,82.22,12.0,50.44,26.17,33.52,97.0,19.79,29.64
23.79,38.97,36.01,7.0,67.22,54.96,54.0,73.19,52.0,58.37
69.41,77.47,90.54,38.0,51.41,30.6,74.56,48.24,84.4,59.19
95.47,87.8,17.91,43.0,94.47,98.47,73.3,28.07,8.78,18.23
23.32,36.86,54.91,36.0,62.83,48.84,29.18,93.29,50.74,27.21
52.11,10.98,26.66,12.0,76.82,1.13,63.46,40.97,35.01,50.54
57.5,47.1,3.67,3.0,20.55,37.18,49.73,81.8,14.81,98.36
17.32,39.28,0.77,5.0,93.98,51.96,81.09,0.4,61.29,90.01
22.86,41.53,36.7,41.0,31.59,6.91,51.03,59.87,79.46,18.27
4.11,7.08,32.25,16.0,8.96,23.14,72.07,28.34,5.71,68.84
40.58,5.4,6.93,22.0,7.06,94.82,12.55,19.0,40.93,97.86
2.22,21.35,97.3,13.0,48.36,57.79,40.52,30.58,4.01,35.98
48.2,35.0,33.54,41.0,71.64,31.61,23.14,28.05,73.56,54.87
68.71,69.05,57.82,30.0,77.22,2.42,51.19,88.34,61.02,56.19
48.21,1.71,99.97,16.0,66.17,18.64,96.93,57.11,0.84,54.96
26.32,64.48,62.26,44.0,24.75,18.63,10.18,93.78,28.73,19.14
84.39,62.08,48.39,36.0,92.74,31.93,87.54,90.64,34.74,35.04
50.7,50.2,49.25,32.0,84.21,21.14,51.85,65.55,38.99,33.95
51.15,85.89,40.23,22.0,68.81,67.77,63.89,11.69,32.09,99.63
90.32,23.62,31.9,49.0,92.53,78.15,39.6,13.44,46.14,14.5
51.71,20.94,45.81,42.0,55.4,88.07,73.72,18.75,79.77,76.79
69.66,69.14,85.78,10.0,38.34,18.88,19.44,60.1,12.98,1.41
56.75,45.72,69.28,7.0,0.5,58.75,66.64,28.95,69.74,39.9
56.4,92.49,96.5,37.0,64.85,81.04,57.52,87.48,43.05,98.75
66.11,27.97,17.33,20.0,62.78,66.29,70.68,20.52,9.62,32.22
6.12,87.76,6.07,0.0,97.57,7.18,23.94,31.76,41.1,36.41
48.55,93.22,30.21,16.0,85.53,18.33,18.34,1.98,18.63,14.25
60.33,70.47,54.34,16.0,87.28,11.25,55.03,93.62,96.77,70.44
29.41,97.36,13.48,0.0,90.95,69.38,89.59,49.28,20.34,14.87
3.71,96.64,61.87,9.0,45.36,25.01,46.32,4.47,35.31,78.92
49.44,92.01,79.01,32.0,71.77,8.93,13.06,8.5,94.31,69.36
71.38,41.37,75.43,42.0,65.97,17.47,78.03,41.01,67.6,13.35
62.77,8.43,98.34,25.0,97.77,63.69,17.4,41.4,82.22,22.75
92.0,75.69,13.82,20.0,40.97,58.99,30.83,97.73,29.76,52.65
64.44,27.84,61.9,32.0,2.7,16.73,74.95,12.73,59.51,37.26
12.1,87.08,55.8,30.0,89.51,84.64,88.08,54.12,56.65,60.59
78.3,87.84,79.86,47.0,4.9,95.9,2.18,74.29,43.77,68.02
18.38,77.35,81.78,10.0,44.73,41.65,51.8,8.43,91.44,87.49
95.34,5.35,94.4,43.0,64.54,71.67,75.75,69.84,69.52,34.03
93.94,6.12,66.55,27.0,58.04,90.12,47.25,90.41,11.11,96.56
0.91,73.77,36.43,15.0,78.68,16.97,9.43,0.32,83.98,72.74
92.72,51.34,55.05,10.0,10.14,17.95,97.37,98.09,32.74,82.07
63.75,6.91,14.32,22.0,76.03,31.78,12.11,15.52,83.16,94.9
18.0,27.02,70.0,21.0,38.9,91.51,90.69,31.18,40.93,53.11
41.48,5.3,6.63,19.0,20.17,56.16,57.89,79.95,59.61,79.16
4.22,34.48,76.35,38.0,85.06,89.29,15.75,95.49,60.53,41.02
54.28,97.73,28.45,47.0,84.5,10.39,79.54,92.2,64.64,9.93
99.63,27.18,45.84,18.0,50.74,62.37,93.4,53.67,76.71,15.91
16.18,33.17,31.57,37.0,96.46,43.04,81.86,88.98,43.95,34.87
15.94,21.65,59.5,25.0,79.68,65.12,40.19,3.97,79.46,20.02
69.83,8.99,46.33,31.0,70.15,62.75,24.31,25.02,38.38,73.36
54.39,62.29,34.26,27.0,85.73,15.67,21.91,59.23,43.11,96.34
75.84,87.79,78.93,10.0,9.53,50.49,47.33,7.71,91.98,87.12
50.54,79.94,20.83,32.0,59.7,99.22,34.04,23.72,54.25,93.5
0.88,8.66,28.81,34.0,41.36,46.74,25.3,44.8,16.67,65.11
93.62,25.89,84.0,39.0,31.47,0.29,55.2,36.97,29.33,7.22
1.19,74.57,7.76,15.0,3.9,70.63,83.25,95.03,8.94,46.36
43.36,67.86,46.84,39.0,15.86,2.62,52.09,53.61,17.46,67.89
66.42,56.74,16.91,40.0,94.15,67.38,60.9,68.6,56.08,65.5
50.53,9.71,98.32,47.0,40.1,24.62,99.46,33.73,81.44,5.56
22.73,93.41,89.19,44.0,26.45,55.8,90.93,88.95,18.15,89.1
71.49,13.04,35.33,26.0,43.2,96.96,53.89,84.85,89.29,40.13
53.14,81.22,69.52,24.0,90.66,74.71,33.32,62.27,46.2,90.85
13.01,66.75,10.5,38.0,74.48,28.29,59.69,94.43,62.73,27.79
7.98,88.43,19.57,19.0,92.56,43.68,58.13,98.51,57.41,95.19
0.58,85.02,90.54,40.0,57.39,88.58,75.09,39.32,21.14,32.63
98.82,21.61,53.72,37.0,3.29,44.43,59.84,43.99,49.06,37.24
22.89,44.33,10.85,20.0,39.0,63.22,31.77,33.35,70.5,55.31
22.38,10.07,75.31,49.0,49.07,83.88,65.64,27.97,89.87,93.65
60.12,74.09,58.73,1.0,48.77,60.68,33.42,74.19,84.79,19.98
95.39,21.25,86.02,4.0,21.6,14.18,93.9,14.98,24.74,97.16
92.62,80.19,66.42,17.0,50.72,91.62,53.97,53.51,70.88,6.46
11.95,9.17,57.74,28.0,0.58,44.67,9.13,88.97,91.68,35.63
50.31,98.21,10.51,28.0,34.97,66.42,90.62,84.68,49.46,43.52
86.28,55.03,26.25,46.0,58.89,76.23,66.71,73.87,0.32,41.67
50.24,3.57,76.89,48.0,38.39,76.72,69.51,34.7,82.02,60.06
78.86,63.31,85.11,34.0,70.94,43.23,26.63,7.37,70.09,97.02
18.73,52.96,49.81,37.0,30.47,39.59,53.37,99.24,76.14,19.26
8.14,74.33,24.68,7.0,71.18,8.77,39.76,54.04,82.75,29.41
80.37,15.52,10.47,0.0,84.79,61.62,88.13,75.72,86.83,93.86
87.17,77.59,82.44,14.0,32.92,38.42,47.43,76.55,70.26,9.51
22.68,46.35,31.02,5.0,95.91,12.78,77.73,54.66,33.44,83.74
56.87,65.5,7.43,1.0,13.62,8.6,79.7,99.1,74.63,82.55
94.91,45.54,29.21,40.0,16.07,85.17,72.28,27.78,39.1,34.9
72.86,2.21,69.16,16.0,75.84,35.29,31.41,54.97,75.39,28.12
43.91,16.19,19.29,37.0,33.61,27.01,62.59,78.52,92.0,32.43
37.64,16.76,3.48,5.0,66.64,85.72,82.79,21.39,40.07,34.01
21.83,46.4,56.73,34.0,72.46,88.36,85.02,37.28,57.73,68.18
27.71,25.8,31.93,40.0,3.92,43.49,75.0,66.1,34.04,84.38
37.06,82.46,94.32,41.0,97.24,99.64,48.51,52.41,66.2,3.33
70.88,20.62,0.37,29.0,65.1,29.77,45.78,90.02,41.15,75.51
7.07,16.91,4.99,1.0,32.53,21.79,79.18,69.18,33.41,58.28
13.55,50.95,52.65,13.0,61.63,21.53,12.5,30.9,30.75,25.66
3.11,57.11,98.27,3.0,96.05,56.3,66.29,93.7,39.91,57.01
11.43,30.09,30.99,7.0,19.83,50.49,31.89,85.67,16.84,93.86
20.22,39.99,35.82,1.0,59.57,92.53,41.95,75.7,36.37,8.21
5.63,5.4,43.93,49.0,3.52,69.41,56.35,33.43,60.62,40.8
39.75,18.12,45.74,41.0,15.61,8.2,73.81,67.02,80.11,60.53
87.56,12.24,70.55,18.0,58.4,40.16,59.06,37.42,9.65,96.87
12.38,66.79,50.47,3.0,15.35,27.8,99.26,89.66,68.45,96.3
64.43,92.08,69.99,11.0,68.54,75.73,53.03,88.71,0.64,64.15
85.1,77.23,50.46,3.0,22.51,59.65,30.67,70.63,16.62,65.46
22.52,94.8,69.09,40.0,28.26,53.12,20.54,53.79,76.18,21.31
96.35,87.24,93.21,49.0,35.49,22.47,37.55,15.2,66.18,97.64
85.24,49.03,79.09,24.0,58.72,34.24,75.59,21.69,19.63,16.75
13.6,80.61,85.63,2.0,8.73,88.66,16.0,95.61,80.56,83.54
63.22,13.78,25.19,17.0,40.49,49.8,18.61,66.53,73.65,34.49
44.69,7.39,87.52,33.0,55.89,56.28,65.97,53.95,86.6,3.07
88.11,83.97,9.48,33.0,18.95,47.17,12.39,12.47,95.14,55.27
57.88,27.86,85.79,25.0,23.39,53.71,7.29,69.44,62.22,53.64
4.65,15.85,87.39,13.0,8.27,30.77,52.68,65.85,63.5,37.28
11.61,8.75,10.04,8.0,18.4,0.54,2.78,47.52,8.35,79.52
81.26,72.41,5.79,26.0,83.36,54.7,29.91,80.57,22.66,64.14
2.12,74.48,37.47,18.0,54.62,53.55,36.38,12.73,94.09,79.48
87.67,19.28,60.59,44.0,90.26,37.06,20.79,0.82,11.84,99.1
14.24,10.63,25.55,22.0,84.0,9.14,79.15,81.9,15.91,62.19
88.5,57.71,85.39,29.0,22.23,45.56,47.11,37.02,26.26,15.77
42.74,70.16,55.91,44.0,12.16,58.35,19.25,30.96,19.23,18.66
23.65,62.22,3.72,46.0,11.74,73.78,35.32,66.36,48.2,50.2
22.58,47.55,12.94,0.0,69.87,80.43,1.92,18.52,8.62,9.46
60.04,96.9,72.81,14.0,94.21,13.13,76.56,40.3,27.91,92.08
0.53,3.01,36.28,17.0,56.36,12.07,37.92,88.82,21.61,62.5
72.16,25.27,75.44,27.0,71.67,75.0,36.32,2.39,24.18,77.39
7.09,27.07,35.27,4.0,68.54,53.38,50.96,83.37,18.32,15.19
25.59,93.59,61.41,49.0,78.22,0.41,4.12,13.85,30.86,2.9
67.14,50.84,71.6,44.0,68.71,24.97,4.75,21.04,29.6,11.18
90.43,98.7,37.28,46.0,85.87,63.37,64.09,35.12,52.5,72.63
73.33,49.72,27.18,48.0,8.82,36.75,14.04,42.72,27.31,52.37
89.11,29.68,35.01,0.0,22.14,90.0,20.5,39.07,13.44,92.56
91.05,65.16,72.95,11.0,23.79,37.29,24.04,46.37,24.89,65.28
96.35,99.47,94.52,32.0,67.79,85.3,49.78,15.79,86.15,49.09
71.92,46.16,64.9,34.0,41.72,97.75,9.31,33.37,32.64,56.98
62.39,38.79,92.08,15.0,12.56,42.77,83.05,52.06,37.16,47.2
20.05,93.68,26.95,17.0,83.77,1.67,18.03,56.69,52.29,82.53
38.45,60.53,50.81,30.0,87.77,42.29,98.24,84.25,97.98,9.78
13.43,75.21,76.02,35.0,33.41,61.75,95.58,36.85,65.36,40.46
62.91,29.76,71.9,16.0,13.78,16.36,68.81,18.29,15.03,2.69
39.23,38.79,72.75,5.0,53.91,15.03,75.81,8.91,36.51,68.38
74.64,69.21,60.86,16.0,47.85,44.38,42.27,39.99,93.7,78.96
16.08,33.8,3.91,33.0,49.57,17.75,97.26,80.76,69.79,3.93
99.37,61.82,20.62,37.0,28.13,34.06,13.92,88.89,98.58,82.85
47.49,46.26,32.69,21.0,85.58,46.51,57.38,45.72,90.79,93.11
1.74,29.89,60.93,6.0,24.0,2.03,98.49,72.08,65.83,23.81
25.01,22.94,99.09,30.0,97.17,65.86,76.09,42.01,39.28,54.8
28.54,41.96,88.7,35.0,87.42,35.29,89.53,40.57,2.62,66.36
16.73,9.15,91.66,38.0,47.92,18.37,3.92,28.54,70.27,34.53
0.01,66.22,24.12,20.0,92.67,38.96,87.19,30.48,1.6,14.09
74.68,62.77,79.67,22.0,95.96,6.5,42.87,65.75,62.04,45.23
7.06,71.12,20.27,25.0,39.58,10.81,66.76,61.24,42.23,27.55
18.64,39.88,47.37,14.0,94.9,0.84,47.81,19.73,4.73,85.79
63.47,61.66,39.8,31.0,49.98,24.78,86.64,94.09,66.33,59.58
83.4,18.5,11.69,35.0,77.1,99.43,24.9,96.32,83.51,46.72
48.0,25.84,69.6,24.0,63.88,31.24,28.75,28.36,91.72,19.24
24.56,55.95,36.25,45.0,77.41,59.99,91.24,81.66,43.86,7.55
97.94,53.63,14.75,41.0,48.46,83.45,0.33,62.28,39.93,57.89
75.6,42.79,56.03,3.0,2.67,60.15,87.32,95.7,55.97,93.4
25.36,21.63,24.93,13.0,25.2,52.17,88.52,19.33,59.1,41.63
9.33,11.42,33.76,3.0,93.98,21.22,16.73,40.77,54.82,98.2
98.09,30.86,24.96,7.0,24.82,18.68,52.52,47.53,55.25,47.7
29.14,9.56,88.07,20.0,71.75,96.63,48.71,2.84,2.81,27.0
98.32,6.96,23.84,35.0,57.26,89.26,3.04,8.87,76.7,42.24
71.89,28.33,89.91,47.0,5.05,43.26,95.54,48.26,10.7,29.25
93.96,4.27,57.39,14.0,22.34,85.93,88.63,63.64,27.51,15.42
15.35,60.55,10.48,49.0,6.43,3.39,42.81,74.84,72.02,81.27
62.61,59.97,96.87,20.0,24.46,16.25,54.5,57.26,25.43,35.29
77.5,38.37,7.33,22.0,18.81,83.41,16.49,38.03,29.34,53.75
56.75,18.76,62.35,27.0,82.65,16.5,88.7,59.59,22.54,58.56
78.77,43.38,16.56,4.0,73.78,45.3,93.08,34.76,36.81,76.01
76.37,48.81,37.05,17.0,4.42,52.38,81.01,80.91,7.07,28.03
33.11,29.54,27.99,28.0,94.73,1.14,30.01,23.43,41.0,77.56
84.51,73.08,39.99,17.0,79.47,47.5,35.51,62.82,63.16,83.6
52.37,50.1,46.98,3.0,87.6,11.84,18.91,34.63,0.99,80.71
60.83,43.85,7.37,8.0,72.44,19.86,48.96,47.03,86.66,22.74
78.51,1.0,4.38,39.0,47.47,13.3,23.61,11.2,7.7,94.97
47.8,89.02,21.35,26.0,70.36,71.67,21.05,47.45,84.72,71.71
8.59,16.05,42.95,37.0,67.91,81.77,11.05,13.97,72.49,21.55
41.37,19.5,35.83,23.0,3.72,30.36,68.71,78.25,35.56,31.65
43.36,70.03,17.2,38.0,76.23,60.8,35.12,98.48,41.91,15.26
30.33,41.73,46.41,42.0,57.61,89.9,2.37,1.37,50.03,21.0
43.79,84.81,87.16,24.0,30.99,76.95,35.59,21.09,64.49,22.85
34.38,67.88,40.41,13.0,14.37,56.83,13.84,99.39,85.85,84.53
97.23,38.64,83.44,28.0,60.4,2.88,51.36,70.93,62.04,58.5
14.83,3.47,55.41,13.0,18.55,43.49,40.26,40.75,90.75,81.34
46.59,6.69,38.5,28.0,48.89,82.89,72.84,93.16,61.59,59.72
88.37,15.98,83.07,22.0,74.0,21.92,60.06,56.92,48.43,60.1
13.22,42.14,84.96,40.0,18.19,18.63,18.64,76.63,25.62,38.59
74.47,15.82,98.13,4.0,10.64,12.75,28.1,77.93,84.66,25.51
40.72,79.57,81.63,35.0,79.29,25.45,50.01,92.83,96.81,15.09
98.45,5.12,33.15,43.0,12.06,45.91,83.46,80.71,92.39,71.87
44.1,77.85,77.29,27.0,39.49,59.13,10.05,98.76,45.58,83.97
92.07,35.15,44.65,28.0,70.22,36.24,38.69,40.28,79.01,60.43
80.24,88.83,95.21,26.0,48.29,7.84,27.16,77.18,1.88,78.87
44.46,59.47,67.16,30.0,62.69,63.62,61.47,18.9,60.41,30.17
33.99,97.85,66.19,30.0,51.8,85.04,15.77,89.5,75.24,20.01
2.37,68.62,66.31,31.0,62.14,13.75,96.84,84.2,93.81,66.93
60.15,57.13,27.09,7.0,54.71,69.49,89.71,90.83,40.32,15.92
91.53,20.94,1.88,27.0,74.1,52.66,24.12,75.7,83.22,23.22
67.28,97.5,57.93,19.0,38.2,64.92,26.31,8.2,61.34,82.9
64.15,19.02,34.96,31.0,23.0,85.71,57.34,8.5,59.75,81.94
6.5,59.41,46.1,24.0,20.31,41.86,39.61,12.81,23.66,40.73
62.14,75.65,67.34,32.0,93.71,13.89,52.51,29.46,86.34,86.3
46.35,70.66,18.45,27.0,91.7,2.78,0.2,88.28,91.6,47.35
46.72,12.63,60.79,3.0,38.84,71.13,12.08,89.61,62.88,82.29
91.15,33.82,21.36,17.0,4.06,92.42,39.61,84.74,73.28,11.49
65.28,42.58,44.06,12.0,47.9,5.97,7.24,93.61,97.63,5.59
49.69,81.12,49.76,14.0,52.84,94.89,48.35,98.23,90.92,30.0
24.88,57.68,44.86,21.0,35.4,2.36,70.42,24.17,43.13,41.5
53.74,99.47,92.75,47.0,2.69,68.7,50.95,96.78,27.98,88.29
29.0,23.49,56.66,30.0,73.35,72.23,37.66,85.69,77.69,54.55
27.45,53.58,5.68,34.0,90.98,16.9,50.85,18.04,38.73,5.87
87.94,70.86,92.09,5.0,16.68,17.26,62.55,67.93,94.16,61.85
1.64,44.44,16.23,17.0,30.79,75.5,20.04,87.36,31.22,23.56
97.03,78.21,43.51,45.0,48.04,94.56,39.79,89.96,23.47,88.22
65.79,43.37,40.42,42.0,10.22,17.87,57.05,84.04,66.84,20.49
2.84,59.59,53.07,13.0,17.84,48.39,56.87,19.93,95.36,10.69
43.28,71.22,96.61,42.0,40.81,27.5,93.87,19.38,53.18,77.17
12.94,12.61,46.47,14.0,69.85,38.94,72.53,59.6,76.27,28.92
10.37,9.41,66.04,46.0,55.6,67.03,21.77,77.42,78.1,77.17
10.95,68.49,74.48,19.0,58.37,32.92,40.22,46.65,79.63,57.17
71.01,23.17,75.31,35.0,41.38,35.67,11.63,31.82,30.18,12.36
14.0,91.82,11.91,40.0,54.54,57.17,89.55,14.44,36.63,61.39
22.5,9.12,27.79,14.0,39.18,51.71,13.13,35.48,90.71,99.08
40.4,58.86,77.82,48.0,94.4,31.84,61.53,38.61,27.24,8.71
43.5,42.32,13.07,41.0,77.42,22.53,71.96,12.92,42.71,52.72
53.58,41.25,70.06,37.0,24.43,13.7,6.96,90.64,72.21,27.41
57.09,9.34,45.91,9.0,6.06,7.62,68.23,99.74,98.55,75.22
34.82,7.41,6.95,22.0,50.24,41.53,49.05,24.35,63.21,98.18
52.38,54.8,70.16,38.0,9.8,22.66,50.91,72.9,36.92,54.1
33.23,35.51,23.82,40.0,59.34,50.03,86.51,0.16,97.8,54.62
56.57,87.63,64.22,28.0,3.87,23.06,51.47,21.24,71.66,64.35
24.09,20.77,9.61,30.0,63.26,0.29,34.25,57.16,49.21,4.76
2.48,14.12,96.25,12.0,6.26,43.35,85.73,41.07,53.84,62.73
10.11,90.82,53.58,5.0,80.73,13.45,61.49,57.69,82.2,63.34
36.18,12.61,97.02,18.0,57.02,97.5,48.64,8.92,89.49,49.9
58.01,51.95,82.73,33.0,19.5,42.63,32.06,81.14,87.58,42.75
34.42,91.48,33.61,37.0,23.25,70.05,10.73,71.56,83.04,26.49
98.18,20.09,24.45,47.0,60.67,88.27,61.7,15.98,91.37,38.06
91.72,0.79,37.13,37.0,64.94,90.13,66.04,16.51,92.87,82.87
34.59,18.41,66.68,20.0,61.05,60.53,16.71,82.09,80.45,78.89
47.92,28.88,94.6,41.0,22.37,11.87,19.7,45.3,16.28,73.77
31.64,42.05,5.73,44.0,72.99,64.71,56.54,16.46,98.21,96.52
51.02,54.67,70.98,29.0,77.43,26.38,2.79,55.69,32.45,49.11
60.94,83.11,52.67,49.0,72.05,36.54,24.39,94.52,65.64,69.0
25.76,4.05,0.84,2.0,92.25,28.9,15.63,48.18,43.87,55.81
52.3,12.27,53.68,27.0,21.26,11.8,27.12,1.31,86.75,60.07
32.83,53.16,1.58,30.0,11.04,43.19,19.26,81.01,8.91,88.32
22.34,72.0,53.26,44.0,33.77,7.1,51.15,79.4,42.02,28.82
15.06,23.97,30.36,14.0,86.96,77.78,54.42,62.47,97.26,41.58
46.58,86.82,92.77,10.0,84.1,29.15,1.6,1.96,60.95,36.65
28.6,3.02,12.62,11.0,51.67,62.18,76.85,34.92,51.86,59.83
46.35,0.21,19.25,18.0,79.27,58.33,93.09,91.99,81.19,47.04
30.9,47.63,21.34,32.0,64.58,97.31,34.34,69.08,87.2,95.89
27.0,10.06,55.65,20.0,74.92,12.41,35.73,67.62,93.44,99.86
84.59,97.04,50.09,19.0,74.97,17.88,57.47,72.47,58.15,91.34
71.51,50.2,93.52,11.0,52.6,69.43,22.28,26.45,49.61,5.19
49.22,20.58,92.43,36.0,51.43,58.49,68.98,9.99,52.27,28.03
0.32,31.94,77.47,9.0,95.88,95.6,49.57,7.66,16.09,30.14
64.45,54.52,20.65,11.0,70.91,48.87,85.85,21.78,51.17,82.08
12.76,27.7,54.36,27.0,43.98,84.86,20.83,46.4,87.31,86.85
85.73,11.13,96.03,15.0,40.19,32.82,30.77,64.09,59.9,20.05
67.86,16.0,32.37,17.0,6.37,62.93,59.26,94.54,80.48,54.18
29.55,80.74,11.19,16.0,26.0,51.55,58.79,79.39,67.31,66.65
18.62,46.9,53.14,29.0,64.12,53.05,4.29,15.1,2.81,72.35
13.27,29.61,17.85,24.0,22.7,42.91,27.45,49.05,80.6,89.74
8.55,98.47,74.79,33.0,92.09,26.63,43.15,15.81,81.32,80.44
57.54,55.42,84.8,34.0,95.73,51.85,25.51,18.05,73.76,76.01
9.79,7.42,87.7,30.0,55.11,47.04,21.17,67.95,72.18,97.12
82.07,80.75,83.99,32.0,80.71,7.62,32.3,79.29,7.43,31.41
39.18,38.51,50.27,48.0,18.86,82.51,16.08,84.71,14.91,81.15
38.82,98.63,6.13,18.0,86.81,89.95,75.67,52.39,17.63,84.51
96.49,74.32,17.76,30.0,13.66,44.71,65.78,10.89,17.28,4.85
47.31,21.44,13.1,27.0,69.02,43.34,29.37,35.92,61.94,55.88
60.22,39.92,82.2,39.0,36.45,99.63,0.48,63.58,93.04,54.11
28.52,86.73,54.41,32.0,30.81,82.56,29.7,20.93,80.01,39.38
78.29,26.5,25.39,34.0,37.88,36.69,21.29,93.97,85.5,16.47
2.09,95.7,14.32,24.0,1.42,29.85,1.59,87.34,81.97,72.62
12.26,6.8,3.64,24.0,45.26,81.42,84.57,54.88,6.42,38.11
72.94,85.57,79.21,0.0,10.23,4.81,75.92,9.53,33.7,11.94
30.63,77.75,13.37,2.0,17.84,90.56,21.44,15.14,88.58,38.93
31.54,20.01,35.39,32.0,79.66,42.1,60.98,67.83,1.1,95.58
